uuid|studentuuid|relativename|relativephone|nationalId
C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|Dyanna Mwende|7177667779|377666662
8BF246D3-2B7D-463B-A1C2-414E15B0D585|9771e08e-4e87-4fe4-9608-a31952ec10cd|Mary Kawira|72777578884|73737373
94F638CB-B62B-40C2-B64F-CAE8B994BA4F|d8a28954-5f2e-4899-8e3f-37b48694778b|Muthoni Joseck|77383883|y33833
AFFCB35C-EA29-4F4D-B176-9EBE8E9A4434|39e904ed-2a81-481e-abc2-bb4e1fd923e2|Rael Gathoni|747737882|t33333
6D2DB16A-C6ED-405A-B883-3AFF002101A9|f8b21135-a65e-4784-9169-3c7fecfaeb83|Lenity Nkatha|8837384|64744
EC7A7889-4E5A-43F8-892F-301ED9277988|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|Morren Nkatha|73737832|747444
40B373CF-6F6F-4C44-BAAF-9D6BD756DA36|7d37242c-abf6-40b4-b8a6-38045a23a1ed|Moreen Makena|8388333|u4444
E8D16388-1002-4964-B4AE-F23E847F4BFE|838c6508-b971-4590-b7f1-4021867a197e|Moreen Gatwiri|8389392|773833
2A8212BF-0BCB-4FFA-9565-C0AED53A0EDD|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|Eliza Kinoti|748883992|7744844
0D91BB1F-BFA5-483E-83ED-88458F3875C2|75d63eed-2e4e-43ed-915f-552443d628cd|Murugi Obed|y338293|448844
8EBF9D64-82DE-4B91-8008-81466722CBDE|9771e08e-4e87-4fe4-9608-a31952ec10cd|Nancie Obed|7448444|444744
A6019094-18A1-4234-A03B-7C87AE6AC702|d8a28954-5f2e-4899-8e3f-37b48694778b|Purity Karimi|y7728282|667223
77D0C189-7952-46D5-A7A9-B965D767343D|39e904ed-2a81-481e-abc2-bb4e1fd923e2|Nacie Kaimuri|737388333|7377784
