uuid|studentuuid|name|phone|nationalId|occupation|county|country
C3CFA249-F2A3-8253-1F44-B1C594C6AG8|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|Obed Muthomi|720286230|284167655|Coder|Meru|Kenya
7E9F218E-732B-42D7-BD82-30B783D71B8F|9771e08e-4e87-4fe4-9608-a31952ec10cd|Migwi Ndungu|98767672|928838|delevoper|Nyeri|Kenya
943524CB-6A8D-4492-9A37-F065C69E252E|d8a28954-5f2e-4899-8e3f-37b48694778b|John Murithi|93873772|3838882|Network admin|Nyaeri|Kenya
EDE7517F-C92D-4896-BC27-CEA2AD6F67B4|39e904ed-2a81-481e-abc2-bb4e1fd923e2|Joram Murithi|9882773|8767382|Lecturer|Kinagop|Kenya
DBFB051C-CF8D-4554-BE9C-38D3661E93DB|f8b21135-a65e-4784-9169-3c7fecfaeb83|Ondiek Felix|87378882|8473892|Network admin|Kisumu|Kenya
FC358637-D8A0-487C-895B-0A06192EA170|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|Keith Seyalel|98288882|200283|IT Manher|Narok|Kenya
978D2947-A02A-44AB-9B30-13098108B1BC|7d37242c-abf6-40b4-b8a6-38045a23a1ed|Timothy Korir|9198827773|87737628|Consultant|LD|Kenya
C7C14D81-B85B-4E1E-954A-1F3E0E5244D5|838c6508-b971-4590-b7f1-4021867a197e|Edwin Edu|93873882|477478282|IT Guru|LD|Kenya
F1D09821-EA57-430A-B424-5E64CB6074B0|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|Muyela Evas|82773773|847783892|Netwok admin|Kakamega|Kenya
92981EFF-6F6B-4647-8FB5-2A7019865764|75d63eed-2e4e-43ed-915f-552443d628cd|June Atieno|72637389|74788292|Consultant|Kisumu|Kenya
