uuid|firstname|lastname|surname|admno|year|dob|bcertno|admissiondate
DAF7EC32-EA25-7D32-8708-2CC132446A2Y|Mati|Morris|Ngugi|A1213|2015|1992|A66655|Sat Dec 06 22:00:42 EAT 2014
9771e08e-4e87-4fe4-9608-a31952ec10cd|Kaenga|Martin|Mutea|A1214|2015|1993|A66622|Sat Dec 06 22:00:42 EAT 2015
d8a28954-5f2e-4899-8e3f-37b48694778b|Merit|Karimi|Gitonga|A1215|2015|1990|A66672|Sat Dec 06 22:00:42 EAT 2014
39e904ed-2a81-481e-abc2-bb4e1fd923e2|Obed|Muthomi|Mukuru|A1216|2015|1995|G7668|Sat Dec 06 22:00:42 EAT 2013
f8b21135-a65e-4784-9169-3c7fecfaeb83|Kairu|Newton|Ngece|A1217|2015|1990|G7668|Sat Dec 06 22:00:42 EAT 2015
97d6752d-7d05-4256-b36e-1a9dc1b56c0d|Hellen|Irene|Mwiti|A1218|2015|1996|H7778|Sat Dec 06 22:00:42 EAT 2014
7d37242c-abf6-40b4-b8a6-38045a23a1ed|Dennis|Muthomi|Kenya|A1219|2015|1990|J8877|Sat Dec 06 22:00:42 EAT 2015
838c6508-b971-4590-b7f1-4021867a197e|Rael|Kathomi|Peter|A1221|2015|1994|5HHHH|Sat Dec 06 22:00:42 EAT 2014
8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|Kelvin|Murimi|Peter|A1222|2015|1998|G6655|Sat Dec 06 22:00:42 EAT 2015
75d63eed-2e4e-43ed-915f-552443d628cd|Dynnah|Mwende|Mwangi|A1223|2015|1993|JU777|Sat Dec 06 22:00:42 EAT 2013
