uuid|firstname|lastname|surname|nhifno|nssfno|phone|dob|nationalId|teachernumber|county|location
9A5D5377-06C5-4EA1-9A5F-ECE6BBDD7F09|munene|nyaga|nesh|8888|333|76588754|1986|87757678|67856|meru|naari
A68F5C77-493F-49B1-973D-1B950987D1FC|Mwiti|Kiama|kim|6788|543|543454|1978|234444|444|meru|naari
E84D14F4-F9E9-4B7A-A5A6-1CF61A808DE0|Mutea| Tesh|Tea|773783|778883|8278893|1980|876er|4567|TNC|Maara
362B5170-6B33-40CA-B72B-7ACEE8315ECB|Nyaga| Nesh|nesh|s7744|773883|927834|1980|e4r4|45678|Meru|Muiui
0BD257AB-A563-45AD-AE6D-E2975AD9EF89|Kinyua| Mwiz|Kinyua|7yueie|7783|o97834|1980|34556|552543|TNC|Karamani
823DBDE5-6B90-4801-A174-3D7BA9C3C731|aaaa|gggggg|hhhhhhh|4445|234|6654|1980|6666|6663|TNC|naari
058DDF8A-AECA-4D7F-B3E4-03DC3EC2FE62|aaaadd|ttttt|hhhhht|5556|6542|6643|1980|88343|66632|TNC|naari
44920C2A-DD8E-4539-BA87-C0AD6CB07FCC|bbbbb|jjjjjj|kkkkkk|4356|97445|66|1980|77564|77542|Embu|Chuka
F138A589-E912-4D97-A9F8-342E8F2F964E|ccccc|gggggg|lllllllll|88323|77532|2346|1980|7733|56842|Meru|Chuka
2E6223D9-1013-462B-A33E-30009506D45E|ddddd|ppppp|ooooooo|667643|77567|653|1980|77712|764|Embu|naari
