Uuid|SchoolAccountUuid|StatusUuid|ClassRoomUuid|Admno|FirstName|LastName|SurName|Gender|DOB|BcertNo|County|RegTerm|SysUser|RegistrationDate
4F218688-6DE5-4E69-8690-66FBA2F0DC9F|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|901|JORAM|NDUNGU|MURIITHI|MALE|11/06/94|L2374|Nyeri|1|Peter|Sat Dec 06 22:00:42 EAT 2014
A195BAF6-D6E7-43A5-B7C9-D6C627A42815|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|902|PETER|NJERU|MWENDA|MALE|12/07/92|A78892|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
8A1B5BDB-9589-4207-8345-A811FC18B2C9|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|903|JOHN|NGANGA|MURIITHI|MALE|09/07/93|A73893|Nyeri|1|Peter|Sat Dec 06 22:00:42 EAT 2014
AEED7469-F7AF-41E6-B24C-13B1D74E1026|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|904|DENIS|GIKUNDA|MUTUMA|MALE|04/05/95|A77388|Meru|1|Peter|Sat Dec 06 22:00:42 EAT 2014
CF64EBB2-BCC2-4EAA-B1C8-060EEE3284F3|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|905|BETTY|MWEBIA|KANANA|FEMALE|06/08/96|L98828|Meru|1|Peter|Sat Dec 06 22:00:42 EAT 2014
7BF6983F-CF8D-4897-8122-7CCD0F778CAF|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|906|DORIS|NDUNGU|NDUTA|FEMALE|03/06/94|L98282|Muranga|1|Denis|Sat Dec 06 22:00:42 EAT 2014
87D0EA99-7042-4867-A4B7-C31E7665DE5E|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|907|JOYCE|NJUGUNA|NJOKI|FEMALE|07/07/94|A77494|Nakuru|1|Denis|Sat Dec 06 22:00:42 EAT 2014
6912F4C6-9370-440A-BA87-11A8426BA92C|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|908|DANIEL|MIGWI|NDUNG'U|MALE|02/23/94|L83773|Nyeri|1|Denis|Sat Dec 06 22:00:42 EAT 2014
91318D8C-8150-49B4-A473-CF97F104F6B7|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|909|DENNIS|MUGAMBI|MURIITHI|MALE|04/20/93|A76733|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
DD9AF1EF-EEEC-49D3-A43F-802D7028BFD7|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|910|DANCAN|KAMAU|WANGUI|MALE|11/06/94|L23772|Nakuru|1|Denis|Sat Dec 06 22:00:42 EAT 2014
62BC85B5-306F-4740-A215-48470CA31288|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|911|MARY|AKOTH|OTIENO|FEMALE|11/09/93|B6T772|Kisumu|1|Denis|Sat Dec 06 22:00:42 EAT 2014
B2EEF18D-EE0A-4CA1-B6FE-B82F863D81B4|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|912|TIM|KORIR|KIP|MALE|12/07/92|B67223|ELDORET|1|Denis|Sat Dec 06 22:00:42 EAT 2014
29A012E5-CDE3-45D8-9BB0-A25D3DBF0A92|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|913|TOO|RONARD|KOECH|MALE|12/07/92|B76672|ELDORET|1|Denis|Sat Dec 06 22:00:42 EAT 2014
423C391C-4944-43F4-9034-9C6818E9C1A2|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|914|LEAH|GATUMI|MORRIS|FEMALE|12/07/92|A76733|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
F67E977A-0102-4758-91E8-9782A570E75D|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|915|MATI|MORRIS|NGUGI|MALE|12/07/92|L23772|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
EF70C8D3-6866-4F6E-8FC2-10665A8D9B12|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|916|JUNE|ATIENO|OMOLLO|FEMALE|12/07/92|B6T772|Kisumu|1|Denis|Sat Dec 06 22:00:42 EAT 2014
123264D0-464E-4032-BEA5-CFECA81410C9|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|917|ONDIEK|FELIX|OCHIENG|MALE|12/07/92|B67223|Kisumu|1|Denis|Sat Dec 06 22:00:42 EAT 2014
CA1F032F-1CA2-4DCE-8AAA-CB284E167A3E|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|918|SANJE|KEITH|SEIYALEL|MALE|12/07/92|B76672|Narok|1|Denis|Sat Dec 06 22:00:42 EAT 2014
72A995F4-0C94-4FAA-8A43-2277B02B97D1|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|4DA86139-6A72-4089-8858-6A3A613FDFE6|919|ADAMS|GICHANE|MWANGI|MALE|12/07/92|A76733|Muranga|1|Denis|Sat Dec 06 22:00:42 EAT 2014
0DE968C9-7309-C481-58F7-AB6CDB1011EF|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|920|JANE|NGENDO|PETER|FEMALE|12/07/94|A73877|Tharaka Nithi|1|Peter|Sat Dec 06 22:00:42 EAT 2014
C1F2964E-9DD5-4B7A-86BD-E7FCAFB9D9D9|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|921|Gareth|Mohammad|Lars|MALE|11/06/94|50963|Nyeri|1|Peter|Sat Dec 06 22:00:42 EAT 2014
E4D9BF24-8574-463D-A816-A21CEC6CD548|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|922|Deacon|Keane|Aladdin|MALE|12/07/92|67342|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
40F82118-26E7-4CCC-8456-195B5F009478|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|923|Kasper|Raphael|Clayton|MALE|09/07/93|56555|Nyeri|1|Peter|Sat Dec 06 22:00:42 EAT 2014
0420916C-304D-4EB8-A847-8B4729E915C1|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|924|Quinn|Finn|Jermaine|MALE|04/05/95|47094|Meru|1|Peter|Sat Dec 06 22:00:42 EAT 2014
199C78A9-4708-451E-8C87-8E6B4F47AAD9|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|925|Hamish|Jameson|Thomas|FEMALE|06/08/96|7046|Meru|1|Peter|Sat Dec 06 22:00:42 EAT 2014
B404AA65-25A3-40B0-8462-D377A926354F|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|926|Tobias|Raphael|Jackson|FEMALE|03/06/94|57262|Muranga|1|Denis|Sat Dec 06 22:00:42 EAT 2014
B7B6D6E6-84B1-47F6-AA1B-AA34AEB7D236|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|927|Byron|Hunter|Dante|FEMALE|07/07/94|25243|Nakuru|1|Denis|Sat Dec 06 22:00:42 EAT 2014
7559C867-A833-4DA2-816B-51D4636033A3|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|928|Lionel|Nero|Dennis|MALE|02/23/94|31521|Nyeri|1|Denis|Sat Dec 06 22:00:42 EAT 2014
7FC3A038-C5DE-4DEE-AE2D-E2ED230AB328|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|929|Jamal|Ryder|Zane|MALE|04/20/93|62799|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
4A4D0394-0FBD-4014-98A5-D3CE9161A568|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|930|Finn|Len|Lewis|MALE|11/06/94|8186|Nakuru|1|Denis|Sat Dec 06 22:00:42 EAT 2014
CB0EF175-8A57-49D7-A1D4-89D0C6E3A497|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|931|Chandler|Murphy|Theodore|FEMALE|11/09/93|72814|Kisumu|1|Denis|Sat Dec 06 22:00:42 EAT 2014
309B97E9-72AB-4FD0-A282-8410413ACE46|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|932|Dean|Nathan|Eric|MALE|12/07/92|46954|ELDORET|1|Denis|Sat Dec 06 22:00:42 EAT 2014
307ED34F-D6B5-4EE8-AB44-543305B12085|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|933|Benedict|Duncan|Jared|MALE|12/07/92|68203|ELDORET|1|Denis|Sat Dec 06 22:00:42 EAT 2014
97BAC717-C0A7-47F7-9918-C56658E6D792|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|934|Keane|Baxter|Leonard|FEMALE|12/07/92|39880|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
466D93AD-B0D7-4B29-89C0-569A421763D6|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|935|Tanek|Noble|Tarik|MALE|12/07/92|29717|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
41C68FA5-4A98-4BB2-B702-68DD844F92B0|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|936|Baxter|Rajah|Grady|FEMALE|12/07/92|18948|Kisumu|1|Denis|Sat Dec 06 22:00:42 EAT 2014
9208D11F-98E8-47B8-8DFC-4215FC2EF127|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|937|Oren|Stone|Ross|MALE|12/07/92|74448|Kisumu|1|Denis|Sat Dec 06 22:00:42 EAT 2014
3013780A-61AD-4BAA-8666-C89CC1A555F8|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|938|Stewart|Cody|Erasmus|MALE|12/07/92|88003|Narok|1|Denis|Sat Dec 06 22:00:42 EAT 2014
3C14C92D-9113-4289-8A69-564BF3F3D871|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|939|Ethan|Melvin|Tate|MALE|12/07/92|32638|Muranga|1|Denis|Sat Dec 06 22:00:42 EAT 2014
E9888085-FD91-4551-9274-50BA485A9637|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|940|Ulric|Ashton|Brandon|FEMALE|12/07/94|46478|Tharaka Nithi|1|Peter|Sat Dec 06 22:00:42 EAT 2014
DDAD0F9E-C85B-462D-8A57-FCE97AEE4EF0|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|941|Otto|Clark|Fuller|MALE|11/06/94|99508|Nyeri|1|Peter|Sat Dec 06 22:00:42 EAT 2014
6799DC5E-5CEB-4D60-BD75-EAA9FFFDE30F|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|942|Jamal|Len|Hu|MALE|12/07/92|36105|Tharaka Nithi|1|Denis|Sat Dec 06 22:00:42 EAT 2014
85728858-0D2E-4DA6-9901-941B737421E5|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|943|Jarrod|Keefe|Rigel|MALE|09/07/93|52383|Nyeri|1|Peter|Sat Dec 06 22:00:42 EAT 2014
2A4FD176-029E-4DA0-A08A-036BF438EDE7|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|944|Charles|Ulysses|Noah|MALE|04/05/95|91082|Meru|1|Peter|Sat Dec 06 22:00:42 EAT 2014
1381D1CA-EB72-4D72-A793-D692BE1483C9|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|945|Xenos|Colton|Dante|FEMALE|06/08/96|63608|Meru|1|Peter|Sat Dec 06 22:00:42 EAT 2014
81B20DD2-7462-47FB-B597-1BDAA8A9F0EF|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|946|Alvin|Mannix|Howard|FEMALE|03/06/94|84305|Muranga|1|Denis|Sat Dec 06 22:00:42 EAT 2014
0BB327CC-1E4B-497E-9A77-7A49419D95C7|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|947|Clayton|Price|Zahir|FEMALE|07/07/94|83809|Nakuru|1|Denis|Sat Dec 06 22:00:42 EAT 2014
AA1B14EB-5CA0-4FA1-B665-697342B2782D|E3CDC578-37BA-4CDB-B150-DAB0409270CD|85C6F08E-902C-46C2-8746-8C50E7D11E2E|EEF296C6-0A09-499B-89AA-9AF92CC87701|948|Conan|Alan|Maxwell|MALE|02/23/94|22446|Nyeri|1|Denis|Sat Dec 06 22:00:42 EAT 2014
