uuid|firstname|lastname|surname|gender|admno|year|dob|bcertno|admissiondate
DAF7EC32-EA25-7D32-8708-2CC132446A2Y|Mati|Morris|Ngugi|MALE|A100|2015|1992|A66655|Sat Dec 06 22:00:42 EAT 2014
9771e08e-4e87-4fe4-9608-a31952ec10cd|Kaenga|Martin|Mutea|MALE|A101|2015|1993|A66622|Sat Dec 06 22:00:42 EAT 2015
d8a28954-5f2e-4899-8e3f-37b48694778b|Merit|Karimi|Gitonga|FEMALE|A102|2015|1990|A66672|Sat Dec 06 22:00:42 EAT 2014
39e904ed-2a81-481e-abc2-bb4e1fd923e2|Obed|Muthomi|Mukuru|MALE|A103|2015|1995|G7668|Sat Dec 06 22:00:42 EAT 2013
f8b21135-a65e-4784-9169-3c7fecfaeb83|Kairu|Newton|Ngece|MALE|A104|2015|1990|G7668|Sat Dec 06 22:00:42 EAT 2015
97d6752d-7d05-4256-b36e-1a9dc1b56c0d|Hellen|Irene|Mwiti|FEMALE|A105|2015|1996|H7778|Sat Dec 06 22:00:42 EAT 2014
7d37242c-abf6-40b4-b8a6-38045a23a1ed|Dennis|Muthomi|Kenya|MALE|A106|2015|1990|J8877|Sat Dec 06 22:00:42 EAT 2015
838c6508-b971-4590-b7f1-4021867a197e|Rael|Kathomi|Peter|FEMALE|A107|2015|1994|5HHHH|Sat Dec 06 22:00:42 EAT 2014
8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|Kelvin|Murimi|Peter|FEMALE|A108|2015|1998|G6655|Sat Dec 06 22:00:42 EAT 2015
75d63eed-2e4e-43ed-915f-552443d628cd|Dynnah|Mwende|Mwangi|MALE|A109|2015|1993|JU777|Sat Dec 06 22:00:42 EAT 2013
A5151A2D-3D63-4092-BC67-AC23A2ED2606|Tamila|Naitore|John|MALE|A110|2015|1992|544FD|Sat Dec 06 22:00:42 EAT 2014
E90FA704-3F08-4C55-9317-B11CDBB9D4A8|Scott|Peter|Shana|MALE|A111|2015|1993|45DDD4|Sat Dec 06 22:00:42 EAT 2015
CB3C3FB9-C9E2-48DC-B65E-218D34B29BE5|Julian|Joel|Prescott|MALE|A112|2015|1990|4FDE4C|Sat Dec 06 22:00:42 EAT 2014
23694373-9A8E-4122-8D87-88928C78FC86|Cameron|Jemima|Arsenio|MALE|A113|2015|1995|E333|Sat Dec 06 22:00:42 EAT 2013
280BA71D-2173-45A8-9ED6-678D64E5F425|Murphy|Melyssa|Derek|MALE|A114|2015|1990|TT5R3|Sat Dec 06 22:00:42 EAT 2015
AD7D7F78-A622-4C10-947B-BBC84B84BD58|Castor|Suki|Troy|MALE|A115|2015|1996|334ES3|Sat Dec 06 22:00:42 EAT 2014
162084B0-734C-4DB0-84CA-B089F474E5CB|Octavius|Oren|Cora|MALE|A116|2015|1990|455TC|Sat Dec 06 22:00:42 EAT 2015
051F15CA-8780-4906-A22B-84F444FBDA83|Giacomo|Quincy|Stephanie|MALE|A117|2015|1994|T654|Sat Dec 06 22:00:42 EAT 2014
0711DD7F-AB2C-4F1C-98FB-AA53E5333087|Kennan|Phyllis|Nicole|MALE|A118|2015|1998|1WQQ|Sat Dec 06 22:00:42 EAT 2015
72F08A23-83E1-419D-AE5D-C17774338729|Murphy|Iola|Mia|MALE|A119|2015|1993|34ER|Sat Dec 06 22:00:42 EAT 2013
EB267515-31D7-4AAB-97EA-444B2CA1E61B|Hayes|Eagan|Leonard|MALE|A120|2015|1992|3EDCG|Sat Dec 06 22:00:42 EAT 2014
FD4E90C8-E37F-4ACC-977B-719B87ABE99A|Scott|Brody|Roary|MALE|A121|2015|1993|5TGFD|Sat Dec 06 22:00:42 EAT 2015
2DB81940-DBE8-440B-A8F3-B48374CF48D5|Kenyon|Heidi|Roanna|MALE|A122|2015|1990|THFFER|Sat Dec 06 22:00:42 EAT 2014
BF26C439-43DA-4403-9D99-EBF54E05A557|Christian|Roanna|Illana|MALE|A123|2015|1995|445RR|Sat Dec 06 22:00:42 EAT 2013
30337A53-79C2-4DCA-BC0D-5B5B9A826262|Wang|Molly|Gillian|MALE|A124|2015|1990|5TGFYD|Sat Dec 06 22:00:42 EAT 2015
F6D06817-4EE8-4D81-8C2E-194DD8F7FED0|Fletcher|Wing|Otto|MALE|A125|2015|1996|6TYJN|Sat Dec 06 22:00:42 EAT 2014
8F8E971C-E0A3-4F36-9578-DDEE3B186D53|Brendan|Peter|Karly|MALE|A136|2015|1990|789292|Sat Dec 06 22:00:42 EAT 2015
7D05C77D-9BE7-4CEF-9C81-C3334FF535A9|Yardley|Whoopi|Yeo|MALE|A127|2015|1994|89IKSS8|Sat Dec 06 22:00:42 EAT 2014
BFC44B48-5033-4D42-9286-176242244B56|Mannix|Molly|Lael|MALE|A128|2015|1998|7UJJWJW|Sat Dec 06 22:00:42 EAT 2015
20A5275A-8000-4567-B5B2-42743C9D06F6|Melvin|Nichole|Blythe|MALE|A129|2015|1993|NWJJWWW|Sat Dec 06 22:00:42 EAT 2013
4A5715E5-06BA-4C6A-B3AD-4ECE988BF422|Ulysses|Rylee|Quemby|MALE|A130|2015|1992|WJJWJ|Sat Dec 06 22:00:42 EAT 2014
218530D9-38F5-44A0-8D73-1A30B1DFB28F|Brendan|Demetrius|Lester|MALE|A131|2015|1993|HJWJJWW|Sat Dec 06 22:00:42 EAT 2015
96396B64-EB92-4352-9EB3-481686D3176B|Lucian|Aileen|Keane|MALE|A132|2015|1990|JWKKKWEJ|Sat Dec 06 22:00:42 EAT 2014
C5C3A4FD-E64F-46F6-841A-C31DF1FEA9A4|Steel|Isabelle|Sophia|MALE|A133|2015|1995|QWJWJWJ|Sat Dec 06 22:00:42 EAT 2013
E8A5D9A9-EA7F-41CF-A84C-F61AD3F225D6|Colorado|Robin|Palmer|MALE|A134|2015|1990|KQKQOIEE|Sat Dec 06 22:00:42 EAT 2015
F235A287-AF81-47B2-9E1F-61B3CE385444|Solomon|Adele|Aurelia|MALE|A135|2015|1996|JNSJJJKE|Sat Dec 06 22:00:42 EAT 2014
C1EC572F-2318-457A-9DF7-854A5E5FA49A|Bevis|Ali|Barbara|MALE|A136|2015|1990|JIKWIWJJSQW|Sat Dec 06 22:00:42 EAT 2015
3C1DEB2D-2DD7-4F1E-BE89-C9B9B7852062|Jason|Hyatt|Tamekah|MALE|A137|2015|1994|HWJJDJKWQW|Sat Dec 06 22:00:42 EAT 2014
F7181FB0-4EE8-4894-B62A-550DD5E07097|Darius|Freya|Erich|MALE|A138|2015|1998|JQJKKWE|Sat Dec 06 22:00:42 EAT 2015
90072B13-2EC9-4733-8134-56F800866B9A|Omar|Hayfa|Taylor|MALE|A139|2015|1993|KQKKEE|Sat Dec 06 22:00:42 EAT 2013
3125CE59-F9E4-42B3-B18F-98D0C9CABD66|Fritz|Demetria|Patience|MALE|A140|2015|1992|JMAKQKE|Sat Dec 06 22:00:42 EAT 2014
A09855F1-1C1A-4E5C-89F2-CEEA780F45DE|Maxwell|Sara|Helen|MALE|A141|2015|1993|JQWERR|Sat Dec 06 22:00:42 EAT 2015
5DADC85B-7257-4A65-903B-F00864D9521C|Alvin|Burton|Louis|MALE|A142|2015|1990|NWJWKE|Sat Dec 06 22:00:42 EAT 2014
82B6EAB3-AE0F-42AD-83E8-A0CE28356BC7|Abraham|Myra|Grant|MALE|A143|2015|1995|LQWKKE|Sat Dec 06 22:00:42 EAT 2013
42C3EEB7-AC68-4029-ACCE-22EC65D0C980|Justin|Dale|Lara|MALE|A144|2015|1990|MWKWKKE|Sat Dec 06 22:00:42 EAT 2015
B3A175AE-C590-44C3-AAC8-B8E45D149C79|Rogan|Kalia|Mari|MALE|A145|2015|1996|JJWJE|Sat Dec 06 22:00:42 EAT 2014
C7ADBD8A-9B03-4F5F-ABD1-F1681AD9CE50|Hammett|MacKenzie|Gray|MALE|A146|2015|1990|WKKRWWSD|Sat Dec 06 22:00:42 EAT 2015
